sport,date,match,team,ask,bid,decimal_price
Basketball,2025-11-08,Thunder vs. Kings,Thunder,0.8,0.19,1.25
Basketball,2025-11-08,Thunder vs. Kings,Kings,0.81,0.2,1.23
Basketball,2025-11-08,Warriors vs. Nuggets,Warriors,0.83,0.15,1.2
Basketball,2025-11-08,Warriors vs. Nuggets,Nuggets,0.85,0.17,1.18
Basketball,2025-11-08,Jazz vs. Timberwolves,Jazz,0.84,0.16,1.19
Basketball,2025-11-08,Jazz vs. Timberwolves,Timberwolves,0.84,0.16,1.19
Basketball,2025-11-08,Bulls vs. Bucks,Bulls,0.81,0.19,1.23
Basketball,2025-11-08,Bulls vs. Bucks,Bucks,0.81,0.19,1.23
Basketball,2025-11-08,Mavericks vs. Grizzlies,Mavericks,0.86,0.16,1.16
Basketball,2025-11-08,Mavericks vs. Grizzlies,Grizzlies,0.84,0.14,1.19
Basketball,2025-11-08,Hornets vs. Heat,Hornets,0.84,0.15,1.19
Basketball,2025-11-08,Hornets vs. Heat,Heat,0.85,0.16,1.18
Basketball,2025-11-08,Rockets vs. Spurs,Rockets,0.81,0.17,1.23
Basketball,2025-11-08,Rockets vs. Spurs,Spurs,0.83,0.19,1.2
Basketball,2025-11-08,Pistons vs. Nets,Pistons,0.84,0.16,1.19
Basketball,2025-11-08,Pistons vs. Nets,Nets,0.84,0.16,1.19
Basketball,2025-11-08,Raptors vs. Hawks,Raptors,0.85,0.15,1.18
Basketball,2025-11-08,Raptors vs. Hawks,Hawks,0.85,0.15,1.18
Basketball,2025-11-08,Cavaliers vs. Wizards,Cavaliers,0.84,0.18,1.19
Basketball,2025-11-08,Cavaliers vs. Wizards,Wizards,0.82,0.16,1.22
Basketball,2025-11-08,Celtics vs. Magic,Celtics,0.85,0.2,1.18
Basketball,2025-11-08,Celtics vs. Magic,Magic,0.8,0.15,1.25
Basketball,2025-11-07,Clippers vs. Suns,Clippers,0.7,0.51,1.43
Basketball,2025-11-07,Clippers vs. Suns,Suns,0.49,0.3,2.04
Basketball,2025-11-06,Warriors vs. Kings,Warriors,0.72,0.66,1.39
Basketball,2025-11-06,Warriors vs. Kings,Kings,0.34,0.28,2.94
Basketball,2025-11-06,Thunder vs. Trail Blazers,Thunder,0.74,0.7,1.35
Basketball,2025-11-06,Thunder vs. Trail Blazers,Trail Blazers,0.3,0.26,3.33
Basketball,2025-11-06,Spurs vs. Lakers,Spurs,0.62,0.47,1.61
Basketball,2025-11-06,Spurs vs. Lakers,Lakers,0.53,0.38,1.89
Basketball,2025-11-06,Heat vs. Nuggets,Heat,0.34,0.27,2.94
Basketball,2025-11-06,Heat vs. Nuggets,Nuggets,0.73,0.66,1.37
Basketball,2025-11-06,Pelicans vs. Mavericks,Pelicans,0.46,0.3,2.17
Basketball,2025-11-06,Pelicans vs. Mavericks,Mavericks,0.7,0.54,1.43
Basketball,2025-11-06,Rockets vs. Grizzlies,Rockets,0.7,0.61,1.43
Basketball,2025-11-06,Rockets vs. Grizzlies,Grizzlies,0.39,0.3,2.56
Basketball,2025-11-06,Timberwolves vs. Knicks,Timberwolves,0.45,0.36,2.22
Basketball,2025-11-06,Timberwolves vs. Knicks,Knicks,0.64,0.55,1.56
Basketball,2025-11-06,Wizards vs. Celtics,Wizards,0.35,0.28,2.86
Basketball,2025-11-06,Wizards vs. Celtics,Celtics,0.72,0.65,1.39
Basketball,2025-11-06,Nets vs. Pacers,Nets,0.44,0.33,2.27
Basketball,2025-11-06,Nets vs. Pacers,Pacers,0.67,0.56,1.49
Basketball,2025-11-06,Jazz vs. Pistons,Jazz,0.32,0.24,3.12
Basketball,2025-11-06,Jazz vs. Pistons,Pistons,0.76,0.68,1.32
Basketball,2025-11-06,76ers vs. Cavaliers,76ers,0.43,0.35,2.33
Basketball,2025-11-06,76ers vs. Cavaliers,Cavaliers,0.65,0.57,1.54
Basketball,2025-11-05,Thunder vs. Clippers,Thunder,0.69,0.63,1.45
Basketball,2025-11-05,Thunder vs. Clippers,Clippers,0.37,0.31,2.7
Basketball,2025-11-05,Suns vs. Warriors,Suns,0.3,0.23,3.33
Basketball,2025-11-05,Suns vs. Warriors,Warriors,0.77,0.7,1.3
Basketball,2025-11-05,Hornets vs. Pelicans,Hornets,0.58,0.45,1.72
Basketball,2025-11-05,Hornets vs. Pelicans,Pelicans,0.55,0.42,1.82
Basketball,2025-11-05,76ers vs. Bulls,76ers,0.57,0.52,1.75
Basketball,2025-11-05,76ers vs. Bulls,Bulls,0.48,0.43,2.08
Basketball,2025-11-05,Magic vs. Hawks,Magic,0.58,0.41,1.72
Basketball,2025-11-05,Magic vs. Hawks,Hawks,0.59,0.42,1.69
Basketball,2025-11-05,Bucks vs. Raptors,Bucks,0.66,0.63,1.52
Basketball,2025-11-05,Bucks vs. Raptors,Raptors,0.37,0.34,2.7
Basketball,2025-11-04,Heat vs. Clippers,Heat,0.39,0.32,2.56
Basketball,2025-11-04,Heat vs. Clippers,Clippers,0.68,0.61,1.47
Basketball,2025-11-04,Lakers vs. Trail Blazers,Lakers,0.6,0.53,1.67
Basketball,2025-11-04,Lakers vs. Trail Blazers,Trail Blazers,0.47,0.4,2.13
Basketball,2025-11-04,Kings vs. Nuggets,Kings,0.25,0.21,4.0
Basketball,2025-11-04,Kings vs. Nuggets,Nuggets,0.79,0.75,1.27
Basketball,2025-11-04,Pistons vs. Grizzlies,Pistons,0.63,0.58,1.59
Basketball,2025-11-04,Pistons vs. Grizzlies,Grizzlies,0.42,0.37,2.38
Basketball,2025-11-04,Mavericks vs. Rockets,Mavericks,0.26,0.22,3.85
Basketball,2025-11-04,Mavericks vs. Rockets,Rockets,0.78,0.74,1.28
Basketball,2025-11-04,Wizards vs. Knicks,Wizards,0.26,0.22,3.85
Basketball,2025-11-04,Wizards vs. Knicks,Knicks,0.78,0.74,1.28
Basketball,2025-11-04,Jazz vs. Celtics,Jazz,0.29,0.26,3.45
Basketball,2025-11-04,Jazz vs. Celtics,Celtics,0.74,0.71,1.35
Basketball,2025-11-04,Bucks vs. Pacers,Bucks,0.72,0.66,1.39
Basketball,2025-11-04,Bucks vs. Pacers,Pacers,0.34,0.28,2.94
Basketball,2025-11-04,Timberwolves vs. Nets,Timberwolves,0.75,0.73,1.33
Basketball,2025-11-04,Timberwolves vs. Nets,Nets,0.27,0.25,3.7
Basketball,2025-11-03,Heat vs. Lakers,Heat,0.36,0.35,2.78
Basketball,2025-11-03,Heat vs. Lakers,Lakers,0.65,0.64,1.54
Basketball,2025-11-03,Spurs vs. Suns,Spurs,0.7,0.69,1.43
Basketball,2025-11-03,Spurs vs. Suns,Suns,0.31,0.3,3.23
Basketball,2025-11-03,Bulls vs. Knicks,Bulls,0.31,0.3,3.23
Basketball,2025-11-03,Bulls vs. Knicks,Knicks,0.7,0.69,1.43
Basketball,2025-11-03,Grizzlies vs. Raptors,Grizzlies,0.35,0.34,2.86
Basketball,2025-11-03,Grizzlies vs. Raptors,Raptors,0.66,0.65,1.52
Basketball,2025-11-03,Hawks vs. Cavaliers,Hawks,0.33,0.31,3.03
Basketball,2025-11-03,Hawks vs. Cavaliers,Cavaliers,0.69,0.67,1.45
Basketball,2025-11-03,Jazz vs. Hornets,Jazz,0.44,0.43,2.27
Basketball,2025-11-03,Jazz vs. Hornets,Hornets,0.57,0.56,1.75
Basketball,2025-11-03,76ers vs. Nets,76ers,0.67,0.66,1.49
Basketball,2025-11-03,76ers vs. Nets,Nets,0.34,0.33,2.94
Basketball,2025-11-03,Pelicans vs. Thunder,Pelicans,0.14,0.13,7.14
Basketball,2025-11-03,Pelicans vs. Thunder,Thunder,0.87,0.86,1.15
Basketball,2025-05-08,Knicks vs Celtics,Knicks,0.99,,1.01
Basketball,2025-05-08,Knicks vs Celtics,Celtics,,0.01,
